hex_id,mean_centrality
882a106e0dfffff,0.009830567670874856
882a106e63fffff,0.009837534556435214
882a106e67fffff,0.00959306148693719
882a106e47fffff,0.01013834909813191
882a106e6bfffff,0.010616119692756778
882a106e61fffff,0.010332617149236455
882a106e41fffff,0.010207086534464314
882a106e45fffff,0.01121566682990474
882a1060b5fffff,0.009741802007479646
882a106e69fffff,0.011205326810381874
882a106e49fffff,0.010426488655646464
882a1060b9fffff,0.009810897166287805
882a106e4dfffff,0.010492927205383912
882a1060bdfffff,0.010172662158607763
882a106193fffff,0.011233464381824924
882a1060a3fffff,0.010535213085437624
882a106083fffff,0.009524144503520723
882a106197fffff,0.010714068585809209
882a1060a7fffff,0.011461235856410054
882a106087fffff,0.009758816720105274
882a10619bfffff,0.01199707199260245
882a1060abfffff,0.010462011132957347
882a10608bfffff,0.009079799649045622
882a106191fffff,0.012149661036598345
882a1060a1fffff,0.011123900509434896
882a106081fffff,0.009732428611470983
882a1060a5fffff,0.010890118569638561
882a106085fffff,0.010431150335949966
882a106199fffff,0.011767308958776364
882a1060a9fffff,0.010787026076310038
882a106089fffff,0.009577565361323799
882a10619dfffff,0.011685933801192417
882a1060adfffff,0.011091939269576332
882a10608dfffff,0.01051163942302014
882a106183fffff,0.01179078552706751
882a1061d3fffff,0.011787982539470446
882a1060e3fffff,0.011204083256446845
882a1061d7fffff,0.012496695952899829
882a1060e7fffff,0.011283807181116023
882a1060c7fffff,0.010377048119861707
882a1060d5fffff,0.009143200057109169
882a1060ddfffff,0.008932517255608136
882a1060c3fffff,0.009581212777933683
882a1062b3fffff,
882a1062b7fffff,0.009163789047076763
882a1060cbfffff,0.0095761928536668
882a1062b1fffff,0.009558703432990335
882a1062b5fffff,0.00971282128032253
882a106295fffff,0.00932624577323286
882a1060c9fffff,0.010452516099344847
882a10618bfffff,0.012044004974366859
882a1061dbfffff,0.01169703156970887
882a1060ebfffff,0.011283831123294157
882a1061d1fffff,0.01244021079035066
882a1060e1fffff,0.011889121784713944
882a1060c1fffff,0.010322101203744195
882a1061d5fffff,0.012592169255125659
882a1060e5fffff,0.012407442213662637
882a1060c5fffff,0.010729482971325288
882a1061d9fffff,0.012763473703060349
882a1060e9fffff,0.011782903779128334
882a1060edfffff,0.013163657568068534
882a1060cdfffff,0.010856429071499888
882a106033fffff,0.013547418230390443
882a106013fffff,0.011610301822332372
882a106017fffff,0.012352802707692324
882a10603bfffff,0.013597007190523886
882a10601bfffff,
882a106031fffff,
882a106011fffff,0.011289997311391818
882a1062b9fffff,0.009637874846975281
882a1062bdfffff,0.010234430976696667
882a10629dfffff,0.009016062033499873
882a1062a3fffff,0.01082398749000131
882a106283fffff,0.009912010341498705
882a1062a7fffff,0.01131628346350645
882a106287fffff,0.01069635551656112
882a1062d7fffff,0.011577053899312928
882a1062abfffff,0.011436194533121455
882a10628bfffff,0.01042547138379417
882a1062a1fffff,0.012052298525892416
882a106281fffff,0.010467170672869397
882a1062d1fffff,0.012557712318830518
882a1062a5fffff,0.01214281637838898
882a106285fffff,0.011551769329705577
882a1062d5fffff,0.011913738998086572
882a1062a9fffff,0.012526435812698853
882a106289fffff,0.011099492164516278
882a1062d9fffff,0.013775542567171358
882a1062adfffff,0.012868447893619567
