hex_id,geometry,has_green_space
882a106e0dfffff,"POLYGON ((4651210.325285098 5803800.724397845, 4651011.549450785 5804403.291355931, 4651451.652488738 5804909.531658615, 4652090.57743278 5804813.1867630035, 4652158.095551923 5804608.525701335, 4652154.465401618 5804605.85756457, 4652143.313141743 5804598.764479946, 4652142.02653748 5804597.536281906, 4652140.888916368 5804596.417278975, 4652139.695468631 5804595.35804105, 4652138.449460396 5804594.361091518, 4652137.15417186 5804593.42916234, 4652135.8127783155 5804592.564709075, 4652134.429130676 5804591.770154056, 4652133.006597515 5804591.047163335, 4652131.523210818 5804590.372402555, 4652130.0738344565 5804589.6279840665, 4652128.661328451 5804588.815307495, 4652127.289030809 5804587.936610396, 4652125.960119387 5804586.993473099, 4652124.677552113 5804585.988528506, 4652123.444280343 5804584.92347081, 4652119.785696265 5804580.270512348, 4652116.03060025 5804575.695164396, 4652112.180688554 5804571.19951391, 4652102.44186574 5804561.591911473, 4652099.179035904 5804558.828188371, 4652095.982721091 5804555.987922357, 4652092.854725526 5804553.072941627, 4652089.797075329 5804550.084928761, 4652086.26789325 5804546.001226082, 4652082.66265583 5804541.984146212, 4652078.9828461055 5804538.035758387, 4652077.317166203 5804536.591590891, 4652075.7030186085 5804535.090112761, 4652074.142480162 5804533.533355645, 4652072.637304509 5804531.92279864, 4652071.189355556 5804530.260569086, 4652069.80062874 5804528.5488076415, 4652068.472656814 5804526.789592474, 4652067.207104069 5804524.985015071, 4652066.005726131 5804523.137461483, 4652064.0698415525 5804520.729471986, 4652062.069620207 5804518.373507409, 4652060.007347124 5804516.071358599, 4652057.884328419 5804513.825104235, 4652055.702727533 5804511.6369254235, 4652053.464153117 5804509.508306111, 4652053.17442484 5804509.234694659, 4652051.936413311 5804507.950717705, 4652050.760175299 5804506.610228443, 4652047.66185702 5804503.483755406, 4652044.632684337 5804500.291730973, 4652041.674355839 5804497.035366789, 4652039.454089794 5804494.986155338, 4652037.165422479 5804493.013098772, 4652034.811230052 5804491.118712201, 4652033.583487989 5804490.027014402, 4652032.410028687 5804488.877201645, 4652031.293646807 5804487.6718980605, 4652030.236915095 5804486.413873383, 4652029.242429335 5804485.106056019, 4652026.569420109 5804480.235260668, 4652023.9561128 5804475.331989899, 4652021.402876059 5804470.396886801, 4652020.175011996 5804468.068566163, 4652018.866736338 5804465.784428251, 4652017.480006406 5804463.547801965, 4652016.016819737 5804461.361734945, 4652007.479467744 5804442.719192804, 4652006.302109789 5804441.108611709, 4652005.188459104 5804439.453064329, 4652004.140429752 5804437.754800291, 4652003.159619706 5804436.0166821275, 4652002.247358995 5804434.241400623, 4652001.405154245 5804432.431523734, 4652000.634562991 5804430.590081854, 4651999.936457677 5804428.719961767, 4651999.621191332 5804427.900632732, 4651999.235012004 5804427.111892491, 4651998.781035818 5804426.360255384, 4651998.262952483 5804425.651164268, 4651998.325839192 5804425.175336333, 4651998.436375107 5804424.33751649, 4651998.756006349 5804424.003766554, 4652000.5974121 5804422.081705559, 4652002.6661640685 5804420.233876484, 4652002.74136929 5804419.707171782, 4652002.714544939 5804419.10412357, 4652002.322906742 5804418.705648752, 4652001.72852782 5804418.791888255, 4652000.727664789 5804419.422699456, 4651998.853302191 5804420.726353094, 4651996.692485891 5804422.144213817, 4651995.943783242 5804422.6354967095, 4651992.900444584 5804424.179734351, 4651992.213251691 5804424.463176059, 4651991.140016357 5804425.004526467, 4651990.110562034 5804425.625195626, 4651988.938705028 5804425.8403416, 4651987.753883847 5804425.966804752, 4651986.562595265 5804426.003804494, 4651985.371704029 5804425.9508632785, 4651984.188086329 5804425.80858736, 4651983.018391855 5804425.57769686, 4651981.869389504 5804425.259510242, 4651980.301759716 5804424.734016939, 4651978.762650268 5804424.129958266, 4651977.256109629 5804423.448885381, 4651975.785905766 5804422.69264936, 4651974.355915159 5804421.862955915, 4651972.969376243 5804420.962137971, 4651971.630315942 5804419.992268227, 4651970.341969575 5804418.956328093, 4651968.027919354 5804416.864291959, 4651965.761579432 5804414.7199877035, 4651963.5445580855 5804412.524785865, 4651961.378055671 5804410.280148582, 4651959.263793591 5804407.987332771, 4651957.202746194 5804405.648141164, 4651955.196484926 5804403.263690426, 4651953.246347273 5804400.8359412085, 4651951.606407812 5804398.696147718, 4651951.353664632 5804398.366142197, 4651949.5192025285 5804395.855996804, 4651944.681082704 5804389.86091485, 4651931.6680955775 5804374.174627023, 4651929.841901278 5804370.46054687, 4651929.096246546 5804367.484302354, 4651927.943735868 5804365.616913805, 4651927.859074822 5804365.484636671, 4651927.032651341 5804365.0579113765, 4651925.381082859 5804365.400959149, 4651908.389274508 5804335.5365195405, 4651892.226747973 5804305.215313551, 4651876.905769389 5804274.460361427, 4651862.4379661195 5804243.295012396, 4651848.8343179505 5804211.74292696, 4651836.105148774 5804179.82805893, 4651834.318661794 5804175.566094972, 4651828.099935016 5804167.164399471, 4651821.287040513 5804164.858672721, 4651803.829133832 5804121.031318504, 4651747.411714727 5804055.812615277, 4651712.552784275 5804010.560938318, 4651707.373011429 5804005.781417967, 4651702.472996993 5804000.715485153, 4651696.106625967 5803993.164791177, 4651690.361150688 5803985.131543534, 4651685.272992793 5803976.666668552, 4651680.874406964 5803967.823828566, 4651677.193276497 5803958.659081756, 4651674.252936583 5803949.230526787, 4651671.500576636 5803941.600037545, 4651668.106426014 5803934.232571456, 4651664.095300823 5803927.181993749, 4651659.496528079 5803920.499852636, 4651654.343731258 5803914.23500243, 4651648.057689531 5803896.451014162, 4651642.516416382 5803878.4210814675, 4651639.000273698 5803866.0229065055, 4651636.537038314 5803856.075374891, 4651629.95242643 5803857.192621277, 4651626.300955143 5803852.188584665, 4651621.040058302 5803843.707192924, 4651616.5281853005 5803834.804723814, 4651612.7987780785 5803825.547164615, 4651609.879478889 5803816.003134367, 4651607.791925443 5803806.2433753135, 4651606.551590583 5803796.3402285585, 4651606.1676675845 5803786.367097931, 4651604.065771347 5803768.736590206, 4651602.719585422 5803751.032340586, 4651602.40614734 5803741.572888284, 4651210.325285098 5803800.724397845))",True
882a106e63fffff,"POLYGON ((4651011.549450785 5804403.291355931, 4651210.325285098 5803800.724397845, 4650770.196324879 5803294.560218719, 4650131.337601245 5803390.9447452575, 4649932.569695078 5803993.460785198, 4650372.652587401 5804499.643213301, 4651011.549450785 5804403.291355931))",True
882a106e67fffff,"POLYGON ((4649932.569695078 5803993.460785198, 4650131.337601245 5803390.9447452575, 4649849.123895193 5803066.396836274, 4649765.382619036 5803117.514316723, 4649751.865384539 5803127.867054788, 4649738.961457112 5803138.97483535, 4649726.71295307 5803150.8014000105, 4649715.159849255 5803163.308144642, 4649704.33985262 5803176.454245393, 4649655.445516661 5803244.132122066, 4649593.711517997 5803332.276252949, 4649549.549039369 5803395.778583183, 4649534.836249022 5803412.450202194, 4649519.437799649 5803428.490635877, 4649468.089080584 5803473.565056263, 4649457.719846091 5803481.346053374, 4649450.126521914 5803486.458820666, 4649443.110926913 5803492.339320577, 4649436.750347955 5803498.922768604, 4649431.114855712 5803506.136636527, 4649428.693643533 5803512.790704359, 4649424.0955214 5803525.911981987, 4649423.845019881 5803526.722297521, 4649416.827787852 5803549.423661034, 4649416.8262003455 5803584.881811076, 4649421.418983202 5803614.266641667, 4649430.442480238 5803627.074218099, 4649433.420823894 5803669.914016532, 4649423.945038335 5803669.8314832235, 4649420.955054583 5803668.9521349985, 4649403.531177321 5803662.82673489, 4649403.990755864 5803661.817184668, 4649396.395724436 5803658.676468047, 4649394.311400881 5803662.941037337, 4649402.197915783 5803665.578156933, 4649402.7165701445 5803664.315336588, 4649421.292358495 5803671.237763492, 4649424.836295363 5803671.8498629285, 4649433.522867057 5803671.520152367, 4649434.707836501 5803692.696929816, 4649447.485384975 5803700.033840351, 4649450.095851374 5803735.58773282, 4649452.389781971 5803735.945679307, 4649458.972400388 5803735.762052561, 4649460.308950121 5803736.051397753, 4649461.128241376 5803736.629211107, 4649461.920994166 5803738.4358641, 4649461.93578854 5803740.85921645, 4649461.1726240665 5803743.899262038, 4649459.631502163 5803747.555993055, 4649436.644234124 5803755.241412235, 4649435.80899691 5803769.048856454, 4649403.525504044 5803765.919405103, 4649403.883416342 5803758.2242402565, 4649399.340114193 5803757.408720298, 4649399.892757123 5803769.5307884645, 4649403.946885862 5803769.746888957, 4649403.643934531 5803768.58404024, 4649435.610924457 5803772.323095798, 4649434.138385392 5803796.665711242, 4649451.048242053 5803801.286831177, 4649450.806497293 5803809.313779902, 4649448.748896637 5803809.2727078, 4649448.520826166 5803814.659843226, 4649446.30776966 5803814.635000835, 4649393.221196843 5803809.944472309, 4649369.365915351 5803807.548879074, 4649367.392007355 5803807.296353314, 4649341.2511356 5803804.607130542, 4649341.954097506 5803794.091115918, 4649339.095146864 5803793.931713516, 4649337.238624429 5803817.283676007, 4649340.172593383 5803817.806273007, 4649341.201201221 5803807.242849695, 4649393.071193289 5803811.641478172, 4649448.1697705565 5803816.509690745, 4649448.673025578 5803816.553429126, 4649450.583483907 5803816.719458853, 4649453.148967657 5803820.37035233, 4649452.020561237 5803839.939766952, 4649448.362676906 5803849.136599341, 4649446.622035183 5803879.657465717, 4649437.221937705 5803904.749631623, 4649426.177463986 5803928.559807511, 4649417.893692288 5803947.136679291, 4649393.630801015 5803983.740046884, 4649371.254931474 5804024.876222059, 4649353.102202639 5804015.346721042, 4649352.459220372 5804016.562250123, 4649370.354706018 5804026.296921964, 4649366.906647544 5804035.267525953, 4649364.669219984 5804043.365346186, 4649356.331492292 5804052.537974903, 4649342.541349564 5804060.451061519, 4649329.124789862 5804061.503321773, 4649293.722646603 5804065.313142527, 4649292.711915107 5804057.572169196, 4649291.827395635 5804057.555164327, 4649292.105794413 5804063.0602016505, 4649288.223585033 5804063.382101534, 4649287.647001145 5804057.82252506, 4649286.684162913 5804057.736952971, 4649287.059671554 5804063.603880518, 4649282.668720028 5804064.032102363, 4649282.853614224 5804068.070280673, 4649329.208673308 5804062.895418849, 4649340.190269957 5804061.7270206185, 4649342.056458963 5804064.562944733, 4649343.071722794 5804067.638606666, 4649340.598595817 5804071.712199168, 4649332.743052853 5804083.929725627, 4649932.569695078 5803993.460785198))",True
882a106e47fffff,"POLYGON ((4652331.852734597 5805922.146255688, 4652530.70059767 5805319.484947846, 4652090.57743278 5804813.1867630035, 4651451.652488738 5804909.531658615, 4651252.812586263 5805512.142051386, 4651692.889670238 5806018.458460168, 4652331.852734597 5805922.146255688))",True
882a106e6bfffff,"POLYGON ((4651252.812586263 5805512.142051386, 4651451.652488738 5804909.531658615, 4651011.549450785 5804403.291355931, 4650372.652587401 5804499.643213301, 4650173.820634842 5805102.2026944095, 4650613.87759876 5805608.461226364, 4651252.812586263 5805512.142051386))",True
882a106e61fffff,"POLYGON ((4649534.913732216 5805198.528835718, 4650173.820634842 5805102.2026944095, 4650372.652587401 5804499.643213301, 4649932.569695078 5803993.460785198, 4649332.743052853 5804083.929725627, 4649313.897894006 5804113.238979526, 4649311.975336727 5804116.340775877, 4649309.616980433 5804119.125648874, 4649306.874245176 5804121.532879502, 4649303.8069316745 5804123.5099826725, 4649300.481917418 5804125.013851577, 4649296.971698498 5804126.011697518, 4649294.222105762 5804126.5259880815, 4649291.54044775 5804127.721948893, 4649289.104757005 5804129.361771641, 4649286.98778335 5804131.396477287, 4649285.252757002 5804133.765292421, 4649283.951500045 5804136.3974644495, 4649283.122878632 5804139.214374842, 4649282.79164214 5804142.1318873335, 4649299.504718002 5804230.963870727, 4649306.449543847 5804267.877070867, 4649306.902871726 5804304.304509657, 4649291.651584258 5804328.783243688, 4649275.103920065 5804339.7537471745, 4649258.116030432 5804346.204347757, 4649246.123756908 5804352.965431736, 4649234.953516457 5804371.115147262, 4649238.914431574 5804423.6655660365, 4649238.9848156385 5804424.600889773, 4649239.311473897 5804429.374665838, 4649239.9548570365 5804434.116153336, 4649241.184838904 5804439.906407627, 4649242.88684869 5804445.575893679, 4649245.049355561 5804451.086200891, 4649246.475098884 5804457.908205251, 4649247.207026953 5804464.8390622195, 4649247.237707235 5804471.808392114, 4649246.566828178 5804478.745424552, 4649245.201202375 5804485.579717145, 4649244.459509859 5804486.899780722, 4649243.956095138 5804488.327803482, 4649243.7059840225 5804489.821162, 4649243.7166417865 5804491.335282734, 4649243.987750307 5804492.824972439, 4649244.511217602 5804494.245767075, 4649245.2714193305 5804495.5552589595, 4649246.245665146 5804496.714362542, 4649247.404875942 5804497.688481014, 4649248.714451793 5804498.448538945, 4649250.135304677 5804498.971850141, 4649255.249082759 5804506.768165464, 4649259.711519474 5804514.954739345, 4649263.493018579 5804523.477277824, 4649266.568499953 5804532.279258584, 4649268.917565985 5804541.302305862, 4649274.893399415 5804554.568828557, 4649278.893811902 5804562.004122053, 4649282.236395642 5804569.757448456, 4649284.896116473 5804577.77074115, 4649286.853054475 5804585.983986427, 4649288.092553185 5804594.33567295, 4649288.605329396 5804602.763252483, 4649287.8955696635 5804604.474603718, 4649287.451237037 5804606.273228217, 4649287.282437351 5804608.118218208, 4649287.3930097595 5804609.967611382, 4649287.780439422 5804611.779345299, 4649288.435914693 5804613.5122140255, 4649289.344527546 5804615.126805308, 4649290.420160035 5804620.574771826, 4649290.715601118 5804626.120043942, 4649290.224928275 5804631.651460392, 4649294.378817709 5804640.07526334, 4649290.955615196 5804653.382165503, 4649283.312252882 5804661.228014899, 4649265.862515986 5804666.871451572, 4649266.153371506 5804667.855243479, 4649248.391692473 5804672.731766243, 4649248.590948103 5804673.619838879, 4649246.696905576 5804674.176788338, 4649246.418435216 5804673.229685554, 4649203.444186104 5804685.7413666565, 4649207.261410808 5804697.954251561, 4649249.8801502725 5804685.4236517325, 4649247.09444235 5804675.45919519, 4649249.205868434 5804674.941345791, 4649249.64260537 5804676.006614128, 4649265.171434501 5804671.708386719, 4649274.46506633 5804705.627341078, 4649177.660597147 5804734.168795459, 4649175.3054293515 5804727.154050456, 4649171.563071004 5804727.864177765, 4649176.983318407 5804745.636072583, 4649180.630784132 5804744.270994717, 4649178.743104637 5804737.021263362, 4649278.437294581 5804707.986567126, 4649360.132578693 5804682.323388111, 4649363.143870682 5804692.00110772, 4649350.163780083 5804695.6415869985, 4649350.818509119 5804698.140114478, 4649364.006243572 5804694.511434328, 4649365.486327277 5804699.597950289, 4649313.601953945 5804715.871239592, 4649293.775766743 5804723.975674955, 4649292.196338151 5804727.7494898215, 4649296.545433448 5804743.06936719, 4649290.968446782 5804744.941776574, 4649291.598834126 5804747.400884276, 4649220.370390343 5804769.269661208, 4649222.113062128 5804774.367003186, 4649292.403912626 5804751.798400318, 4649293.203874356 5804753.855825932, 4649298.970421474 5804751.844989376, 4649312.63920592 5804798.423777367, 4649316.581171668 5804797.497430636, 4649329.672701724 5804846.206559842, 4649319.427768419 5804848.194218093, 4649319.617830943 5804849.504188574, 4649297.868093632 5804855.1668999, 4649298.433193015 5804856.756888845, 4649321.260288417 5804851.606653293, 4649323.261545078 5804858.825372304, 4649300.745787552 5804865.784267627, 4649301.9207668565 5804868.121724275, 4649333.490234921 5804858.693903775, 4649331.055471588 5804861.239428003, 4649331.762760811 5804866.814827017, 4649321.500492112 5804869.810366153, 4649317.370614343 5804870.896467932, 4649329.620919681 5804909.245952673, 4649293.569884278 5804920.88128276, 4649296.842581953 5804924.646021386, 4649334.878832659 5804912.991950859, 4649453.721596087 5804874.791355162, 4649475.788159039 5804946.880557804, 4649483.065758977 5804947.299043259, 4649503.123879168 5804968.180649177, 4649524.607084623 5804966.025798228, 4649538.485576701 5805001.87003309, 4649537.698586784 5805003.101212299, 4649536.562203933 5805003.9468875555, 4649535.137164105 5805004.464318973, 4649533.674606623 5805004.561589755, 4649532.331974555 5805004.213046501, 4649530.9812488435 5805003.484277935, 4649530.286626478 5805002.974707985, 4649526.352295496 5804999.1763092205, 4649524.965294365 5804998.0358345155, 4649522.017362945 5804993.692662507, 4649483.90057956 5805005.353025639, 4649479.767322456 5804998.999105132, 4649456.144163964 5805004.620176156, 4649461.771395054 5805024.1683767205, 4649461.956543062 5805038.297732352, 4649429.527405851 5805049.535309062, 4649429.69722398 5805050.079007297, 4649427.45594034 5805050.701984235, 4649427.301650035 5805050.342965976, 4649410.412151357 5805055.294691743, 4649412.867139732 5805058.118963156, 4649428.5564679615 5805053.4609612, 4649427.944579917 5805052.086595802, 4649430.406260468 5805051.135180479, 4649431.233843466 5805052.863432784, 4649463.151569763 5805042.129151354, 4649464.833323546 5805045.942036945, 4649465.488614399 5805048.554644658, 4649467.403901009 5805054.009349279, 4649435.224332886 5805064.955077678, 4649436.367813119 5805068.191493031, 4649468.546441855 5805057.263597381, 4649483.7415579595 5805100.540028435, 4649487.053343141 5805101.102860077, 4649516.738389664 5805177.618206402, 4649534.913732216 5805198.528835718))",False
882a106e41fffff,"POLYGON ((4652573.037950842 5807031.225254215, 4652771.949919926 5806428.520548875, 4652331.852734597 5805922.146255688, 4651692.889670238 5806018.458460168, 4651493.985683529 5806621.112256935, 4651934.036781811 5807127.504754346, 4652573.037950842 5807031.225254215))",False
882a106e45fffff,"POLYGON ((4651493.985683529 5806621.112256935, 4651692.889670238 5806018.458460168, 4651252.812586263 5805512.142051386, 4650613.87759876 5805608.461226364, 4650414.981583748 5806211.064117956, 4650855.012587553 5806717.398736298, 4651493.985683529 5806621.112256935))",True
882a1060b5fffff,"POLYGON ((4653013.109124886 5807537.675638266, 4652814.133033721 5808140.423710383, 4653254.178164763 5808646.950167785, 4653893.2454840075 5808550.71037738, 4654092.229590032 5807947.911399805, 4653652.138358938 5807441.403121545, 4653651.180858852 5807441.547340287, 4653648.378493623 5807445.139995335, 4653644.014916096 5807452.090632227, 4653640.380545468 5807459.448856493, 4653637.513038348 5807467.138425934, 4653643.572307888 5807477.605395979, 4653645.101388824 5807480.246545891, 4653721.606083894 5807546.47748612, 4653713.513402309 5807551.778523315, 4653684.62896182 5807570.698843604, 4653674.413476234 5807564.668620625, 4653673.002291388 5807554.923266711, 4653674.075535458 5807548.018144718, 4653666.68588734 5807544.928541315, 4653659.723982548 5807540.968194374, 4653653.291955466 5807536.1952061085, 4653647.4841665905 5807530.679600289, 4653642.385818302 5807524.5022949455, 4653640.2793858275 5807520.489224009, 4653638.399433585 5807516.365200691, 4653634.233856782 5807510.170568932, 4653629.3382526655 5807504.5351002, 4653623.786910489 5807499.544309133, 4653617.664069893 5807495.2739273785, 4653611.062642518 5807491.788754431, 4653601.565822935 5807489.848911338, 4653592.251885306 5807487.165074273, 4653583.179018163 5807483.754012408, 4653574.403903682 5807479.637038122, 4653565.981363582 5807474.839873822, 4653557.96401667 5807469.392491195, 4653550.401950134 5807463.328923946, 4653544.353479376 5807457.6383068375, 4653013.109124886 5807537.675638266))",True
882a106e69fffff,"POLYGON ((4649776.036568843 5806307.357572383, 4650414.981583748 5806211.064117956, 4650613.87759876 5805608.461226364, 4650173.820634842 5805102.2026944095, 4649534.913732216 5805198.528835718, 4649486.281976877 5805345.881699469, 4649486.6641848385 5805351.079982384, 4649490.487465113 5805364.086212281, 4649495.109210782 5805373.558679403, 4649496.554509707 5805374.9309593495, 4649505.867677601 5805380.605176591, 4649527.283860061 5805385.299354061, 4649551.083905554 5805384.131148119, 4649567.899544498 5805390.755248544, 4649619.296377607 5805431.155617735, 4649635.534324553 5805443.254592772, 4649656.254079907 5805447.61294892, 4649675.395813645 5805475.9399668425, 4649681.9515399 5805507.569063657, 4649679.609219518 5805549.1104115285, 4649694.823317554 5805634.283655523, 4649695.508712832 5805662.623767868, 4649684.560460741 5805687.681511222, 4649701.866617898 5805692.368294138, 4649725.084695712 5805680.210464606, 4649747.445931012 5805678.300354602, 4649757.681596544 5805682.835626239, 4649758.510091849 5805698.193099301, 4649751.820288051 5805733.405626263, 4649744.686328178 5805752.767680392, 4649735.783803934 5805780.610970698, 4649739.265551854 5805807.168448731, 4649745.474640574 5805810.299146961, 4649742.819478365 5805816.413237405, 4649740.547408611 5805821.645345269, 4649730.766591771 5805818.253671655, 4649726.78999286 5805823.440260605, 4649705.291415156 5805832.95174175, 4649672.5242102165 5805824.701898333, 4649650.9695061045 5805815.270287342, 4649626.483421652 5805817.587318285, 4649610.246704301 5805819.750784485, 4649594.441994662 5805824.895319065, 4649591.633932773 5805831.770396071, 4649580.835803872 5805837.3305807, 4649550.390400672 5805843.8365384145, 4649548.780793132 5805837.982486082, 4649553.924450096 5805827.534939965, 4649550.546011558 5805816.040023477, 4649545.64231584 5805813.707134211, 4649526.405244656 5805806.984149007, 4649497.547245899 5805790.682792399, 4649391.048001962 5805753.677819098, 4649377.999444531 5805775.930821856, 4649375.153438892 5805780.872221276, 4649366.496838819 5805807.755774693, 4649360.838858653 5805829.627594901, 4649776.036568843 5806307.357572383))",False
