,primary_mode,trip_distance_meters,origin_bgrp_fips_2020,origin_bgrp_lat_2020,origin_bgrp_lng_2020,destination_bgrp_fips_2020,destination_bgrp_lat_2020,destination_bgrp_lng_2020,emission_factor,co2_emissions_grams
20339,private_auto,703.735770622944,360810236001,40.7084,-73.8056,360810446011,40.7045,-73.7994,175.0,123.1537598590152
20566,private_auto,457.75123899757705,360811265002,40.7198,-73.8064,360811265001,40.721,-73.8018,175.0,80.10646682457597
20749,private_auto,2831.8440152998573,360811147002,40.7673,-73.8021,360810987002,40.7896,-73.8098,175.0,495.57270267747504
21192,private_auto,10705.136683617242,360810240003,40.7027,-73.8059,360811385011,40.7567,-73.7563,175.0,1873.3989196330174
21245,private_auto,3316.2631740068587,360810246001,40.7012,-73.7965,360810178002,40.6778,-73.8062,175.0,580.3460554512003
21550,private_auto,376.08409784229815,360811157003,40.7644,-73.8151,360811171001,40.764,-73.8079,175.0,65.81471712240217
21654,private_auto,6552.999616943868,360811227041,40.7292,-73.8091,360810697011,40.7283,-73.8596,175.0,1146.774932965177
21783,private_auto,8395.518617028734,360810329001,40.7644,-73.8827,360811227032,40.7343,-73.8095,175.0,1469.2157579800287
21802,private_auto,10130.770537077857,360810809007,40.7366,-73.8201,360810219001,40.7235,-73.9183,175.0,1772.8848439886249
22222,private_auto,5408.574,360050118003,40.8168,-73.8115,360050286001,40.8498,-73.8475,175.0,946.50045
22404,private_auto,5355.60992733034,360810645002,40.7091,-73.8543,360810779041,40.7227,-73.8126,175.0,937.2317372828095
22616,private_auto,2619.4402736575357,360810775002,40.7089,-73.8337,360810779051,40.717,-73.8135,175.0,458.40204789006873
22752,private_auto,2618.5210240475003,360811203002,40.748,-73.8141,360810871001,40.7566,-73.8363,175.0,458.24117920831253
23834,private_auto,6628.618201994137,360811205002,40.7525,-73.8184,360810679002,40.7254,-73.8711,175.0,1160.008185348974
24016,private_auto,6749.858790574418,360810166002,40.6784,-73.8193,360810779072,40.7236,-73.8178,175.0,1181.2252883505232
25520,private_auto,3020.42820545865,360050288004,40.8563,-73.8523,360050302013,40.8636,-73.8245,175.0,528.5749359552638
25891,private_auto,10697.02962288252,360810595012,40.7121,-73.909,360810797011,40.7546,-73.8256,175.0,1871.9801840044408
26067,private_auto,20646.45259881247,360610195001,40.804,-73.97,360050462043,40.8735,-73.8259,175.0,3613.129204792182
26907,private_auto,2011.2825498380255,360810124001,40.6958,-73.8336,360810100002,40.6827,-73.8297,175.0,351.97444622165443
27231,private_auto,763.468962250038,360050194001,40.8335,-73.8361,360050264002,40.8419,-73.8314,175.0,133.60706839375666
27926,private_auto,10163.678470007948,360810110001,40.6884,-73.8358,360810716001,40.6469,-73.7869,175.0,1778.643732251391
28671,private_auto,3666.958911634357,360810637001,40.7087,-73.8581,360810126012,40.693,-73.8383,175.0,641.7178095360124
29219,private_auto,15241.194051530923,360610149001,40.7728,-73.9838,360810749001,40.7141,-73.8418,175.0,2667.2089590179116
30467,private_auto,2136.5762892527546,360810030001,40.6916,-73.8473,360810124001,40.6958,-73.8336,175.0,373.900850619232
32984,private_auto,4292.759713987072,360470578002,40.5993,-73.9525,360470460002,40.6307,-73.9673,175.0,751.2329499477377
33962,private_auto,4312.552137326075,360050004001,40.814,-73.8573,360050125001,40.8281,-73.8927,175.0,754.6966240320631
35418,private_auto,16843.26067619662,360810036002,40.6826,-73.8611,360811507011,40.7633,-73.7365,175.0,2947.5706183344087
35772,private_auto,13794.469974292342,360050042004,40.8226,-73.8623,360810383011,40.7606,-73.8413,175.0,2414.03224550116
37559,private_auto,1054.9298864305013,360810411001,40.7441,-73.8664,360810375011,40.7469,-73.8677,175.0,184.61273012533772
38951,private_auto,798.7753797732746,360810459002,40.7392,-73.8704,360810473002,40.7368,-73.8771,175.0,139.78569146032305
40214,private_auto,5094.221290112972,360810633011,40.7045,-73.8746,360810475001,40.7347,-73.8759,175.0,891.4887257697701
40262,private_auto,3030.707909910365,360810505001,40.7291,-73.8748,360810461001,40.7414,-73.8729,175.0,530.3738842343139
40270,private_auto,24211.437126543417,360610269006,40.8527,-73.9303,360810505001,40.7291,-73.8748,175.0,4237.001497145097
40271,private_auto,4113.74320679722,360810505001,40.7291,-73.8748,360810747002,40.7302,-73.8438,175.0,719.9050611895136
41981,private_auto,16546.71413055101,360810485002,40.739,-73.8798,360810716001,40.6469,-73.7869,175.0,2895.6749728464265
42951,private_auto,13584.32554446188,360810337001,40.7598,-73.8828,360810444003,40.7055,-73.78,175.0,2377.256970280829
43436,private_auto,8957.032968293443,360810473002,40.7368,-73.8771,360471172021,40.6838,-73.8838,175.0,1567.4807694513522
43519,private_auto,9611.09823987982,360610137003,40.7636,-73.9796,360810481003,40.7419,-73.8842,175.0,1681.9421919789686
