,hex_id,geometry,emissions_per_hex
0,882a106e0dfffff,"POLYGON ((-74.24005982502953 40.50162603812127, -74.23812821403146 40.50607661731169, -74.23178617883345 40.50714145162201, -74.22737676591795 40.5037554825191, -74.22803230885451 40.502245880399975, -74.228188 40.502238, -74.228332 40.502238, -74.22845 40.502238, -74.228563 40.502209, -74.228825 40.5022, -74.229069 40.502191, -74.229238 40.502125, -74.229613 40.502031, -74.230044 40.501881, -74.230138 40.501844, -74.230307 40.501778, -74.230438 40.501797, -74.230635 40.501806, -74.230794 40.501816, -74.230925 40.501806, -74.230972 40.501788, -74.231094 40.501694, -74.231216 40.501638, -74.231375 40.501666, -74.231488 40.501675, -74.231694 40.501647, -74.231769 40.501628, -74.23191 40.501563, -74.232088 40.501487, -74.232172 40.501469, -74.232472 40.501375, -74.23265 40.501262, -74.232782 40.501103, -74.232866 40.500972, -74.232922 40.500794, -74.232956 40.500677, -74.232997 40.500677, -74.233457 40.500559, -74.233738 40.500588, -74.234294 40.500603, -74.234544 40.500672, -74.234647 40.500681, -74.234816 40.500597, -74.234985 40.500531, -74.235125 40.500513, -74.235332 40.500475, -74.235529 40.500438, -74.235744 40.500334, -74.235913 40.500269, -74.236007 40.500147, -74.236054 40.500081, -74.236119 40.500006, -74.236288 40.499894, -74.236513 40.499941, -74.236579 40.499969, -74.236616 40.499978, -74.236663 40.499978, -74.23685 40.499903, -74.237047 40.499753, -74.237254 40.499566, -74.23729686328062 40.49950476674196, -74.24005982502953 40.50162603812127))",5059.507583804346
1,882a106e63fffff,"POLYGON ((-74.23812821403146 40.50607661731169, -74.24005982502953 40.50162603812127, -74.24640096766862 40.500560810269796, -74.25081151030668 40.503945937226575, -74.24888080597698 40.50839684192601, -74.24253865223147 40.509462294190094, -74.23812821403146 40.50607661731169))",15457.885398821916
2,882a106e67fffff,"POLYGON ((-74.24888080597698 40.50839684192601, -74.25081151030668 40.503945937226575, -74.25491913654146 40.50325552315857, -74.255422 40.504281, -74.255469 40.504731, -74.25546 40.505022, -74.255469 40.505331, -74.255417 40.505755, -74.255413 40.506025, -74.255413 40.506353, -74.255404 40.506531, -74.255432 40.506738, -74.255488 40.506916, -74.255544 40.507103, -74.255629 40.507269, -74.255653 40.507441, -74.255713 40.507609, -74.255694 40.50773, -74.255629 40.507919, -74.255685 40.507956, -74.255169 40.508481, -74.255085 40.508444, -74.254664 40.508839, -74.25441 40.508866, -74.254035 40.509091, -74.254063 40.509138, -74.253969 40.509203, -74.253772 40.509381, -74.253547 40.509691, -74.253435 40.509925, -74.253397 40.510084, -74.253275 40.510272, -74.253219 40.510394, -74.253135 40.510675, -74.253116 40.511078, -74.253135 40.511425, -74.253163 40.511631, -74.25315819567926 40.51167933734944, -74.24888080597698 40.50839684192601))",2462.177859618541
3,882a106e47fffff,"POLYGON ((-74.219101335015 40.50927010853305, -74.22103484972476 40.504819698967424, -74.22737676591795 40.5037554825191, -74.23178617883345 40.50714145162201, -74.22985357047185 40.51159218704536, -74.22351064273714 40.51265662753846, -74.219101335015 40.50927010853305))",6870.573109107668
4,882a106e6bfffff,"POLYGON ((-74.22985357047185 40.51159218704536, -74.23178617883345 40.50714145162201, -74.23812821403146 40.50607661731169, -74.24253865223147 40.509462294190094, -74.24060695055806 40.513913355295486, -74.234263903887 40.51497841387085, -74.22985357047185 40.51159218704536))",15987.604986190863
5,882a106e61fffff,"POLYGON ((-74.24501830954888 40.517299289673566, -74.24060695055806 40.513913355295486, -74.24253865223147 40.509462294190094, -74.24888080597698 40.50839684192601, -74.25315819567926 40.51167933734944, -74.253114 40.512124, -74.252947 40.512269, -74.251963 40.512916, -74.251925 40.513075, -74.251972 40.513244, -74.252085 40.513478, -74.252122 40.513619, -74.252066 40.51375, -74.251925 40.513872, -74.251683 40.514023, -74.250004 40.515109, -74.250154 40.515316, -74.249844 40.515531, -74.249357 40.515034, -74.249254 40.515091, -74.24962 40.51557, -74.248663 40.516113, -74.2487 40.516178, -74.248232 40.516497, -74.247491 40.515728, -74.247125 40.515916, -74.246994 40.516047, -74.24691 40.516094, -74.246771 40.516146, -74.246648 40.516158, -74.246525 40.51617, -74.246511 40.516309, -74.246563 40.516469, -74.24661 40.516591, -74.246714 40.516715, -74.246825 40.516834, -74.246994 40.516947, -74.24701631426439 40.5169636170054, -74.24687868535689 40.516986739204384, -74.246797 40.516909, -74.246657 40.516797, -74.246554 40.516722, -74.246233 40.516825, -74.245729 40.51705, -74.245485 40.517163, -74.24544110610096 40.517228258186194, -74.24501830954888 40.517299289673566))",20367.258004878913
6,882a106e41fffff,"POLYGON ((-74.2108240142567 40.514784496410655, -74.21275852667401 40.51033393103582, -74.219101335015 40.50927010853305, -74.22351064273714 40.51265662753846, -74.22157703668738 40.517107518944044, -74.21523321643838 40.51817156534385, -74.2108240142567 40.514784496410655))",15849.925727336604
7,882a106e45fffff,"POLYGON ((-74.22157703668738 40.517107518944044, -74.22351064273714 40.51265662753846, -74.22985357047185 40.51159218704536, -74.234263903887 40.51497841387085, -74.23233120454508 40.519429631131565, -74.22598726497064 40.52049429574205, -74.22157703668738 40.517107518944044))",12788.699578560281
8,882a1060b5fffff,"MULTIPOLYGON (((-74.20254480334124 40.52029864562504, -74.19620021077287 40.52136167940853, -74.19251641358797 40.51853042290051, -74.192731 40.518231, -74.192806 40.518006, -74.192797 40.517725, -74.192741 40.517538, -74.192591 40.517359, -74.192488 40.517228, -74.192544 40.516956, -74.192666 40.516778, -74.192844 40.516534, -74.192994 40.516328, -74.193069 40.516028, -74.193106 40.515775, -74.1932 40.515578, -74.193275 40.515522, -74.193416 40.515419, -74.193472 40.515306, -74.193416 40.515175, -74.193322 40.514997, -74.193228 40.514828, -74.193228 40.514706, -74.193322 40.514566, -74.19331517202195 40.51447344296417, -74.19372855760152 40.5135233741457, -74.20007213782743 40.51246056389104, -74.2044803137906 40.51584792469182, -74.20327613997735 40.51861693149291, -74.203216 40.51852, -74.203007 40.518322, -74.202777 40.518185, -74.202589 40.518174, -74.202431 40.518196, -74.202143 40.518135, -74.202014 40.51813, -74.201913 40.518152, -74.201625 40.518168, -74.201532 40.51813, -74.201373 40.517927, -74.201121 40.517674, -74.201105 40.517649, -74.201066 40.517673, -74.200976 40.517728, -74.201004 40.51777, -74.201193 40.517945, -74.201431 40.518197, -74.20154 40.518241, -74.201908 40.518258, -74.20245 40.518313, -74.202579 40.518253, -74.202645 40.518258, -74.202808 40.518364, -74.203065 40.518532, -74.203173 40.518625, -74.203189 40.518713, -74.203139 40.518816, -74.203067 40.518887, -74.203003 40.519025, -74.202997 40.519151, -74.20302887143215 40.51918552738483, -74.20290990735525 40.519459086180404, -74.202819 40.519463, -74.202682 40.519507, -74.202553 40.519644, -74.202574 40.519688, -74.202668 40.519732, -74.202769 40.519727, -74.20280247215248 40.51970613424261, -74.20254480334124 40.52029864562504)), ((-74.20284360216985 40.519611555456265, -74.202762 40.519628, -74.20274 40.519617, -74.202805 40.519546, -74.20287524865408 40.51953878412616, -74.20284360216985 40.519611555456265)), ((-74.19179214110598 40.517973768699626, -74.1919140277488 40.51769364112757, -74.191934 40.517716, -74.191981 40.517866, -74.191963 40.517969, -74.191916 40.518034, -74.19191177158491 40.51806571311324, -74.19179214110598 40.517973768699626)))",14896.9616463426
9,882a106e69fffff,"POLYGON ((-74.23674245881276 40.52281611552677, -74.23233120454508 40.519429631131565, -74.234263903887 40.51497841387085, -74.24060695055806 40.513913355295486, -74.24501830954888 40.517299289673566, -74.24452708959447 40.51843123679181, -74.244341 40.518484, -74.244004 40.5184, -74.243788 40.518344, -74.24345 40.518325, -74.243066 40.518297, -74.242888 40.518297, -74.242522 40.518306, -74.242325 40.518381, -74.24211 40.518503, -74.241969 40.518663, -74.241791 40.51885, -74.241697 40.518906, -74.24151 40.518981, -74.241275 40.519103, -74.241443 40.519348, -74.241519 40.519591, -74.241416 40.519731, -74.241332 40.519797, -74.241322 40.519806, -74.241472 40.520013, -74.24166 40.519975, -74.241754 40.519966, -74.241819 40.520003, -74.241875 40.520078, -74.241922 40.520181, -74.24196 40.520284, -74.242416 40.520325, -74.242786 40.520696, -74.242861 40.521164, -74.242944 40.52125, -74.242983 40.521349, -74.242982 40.521484, -74.242982 40.521513, -74.242925 40.521691, -74.24288683261297 40.521784363300576, -74.23674245881276 40.52281611552677), (-74.238951 40.520249, -74.239037 40.52026, -74.239202 40.520183, -74.239426 40.520177, -74.239782 40.520222, -74.239802 40.520157, -74.239837 40.520045, -74.239714 40.520038, -74.239465 40.519968, -74.239354 40.519992, -74.239276 40.519995, -74.238805 40.519882, -74.238462 40.519834, -74.238432 40.519865, -74.238432 40.519952, -74.238468 40.519985, -74.238749 40.520117, -74.238951 40.520249))",39345.57063166592
