hex_id,Mean_Degree
882a106e0dfffff,5.204545454545454
882a106e63fffff,5.75
882a106e67fffff,5.214285714285714
882a106e47fffff,4.466666666666667
882a106e6bfffff,4.666666666666667
882a106e61fffff,4.636363636363637
882a106e41fffff,6.0
882a106e45fffff,4.666666666666667
882a1060b5fffff,4.984126984126984
882a106e69fffff,5.470588235294118
882a106e49fffff,4.616666666666666
882a1060b9fffff,5.0
882a106e4dfffff,4.444444444444445
882a1060bdfffff,5.277777777777778
882a106193fffff,4.25
882a1060a3fffff,5.045454545454546
882a106083fffff,5.176470588235294
882a106197fffff,4.25
882a1060a7fffff,4.47945205479452
882a106087fffff,4.571428571428571
882a10619bfffff,4.36734693877551
882a1060abfffff,5.392857142857143
882a10608bfffff,6.072463768115942
882a106191fffff,4.1875
882a1060a1fffff,6.020833333333333
882a106081fffff,4.40625
882a1060a5fffff,4.826086956521739
882a106085fffff,5.222222222222222
882a106199fffff,4.684210526315789
882a1060a9fffff,6.68
882a106089fffff,6.069444444444445
882a10619dfffff,4.9
882a1060adfffff,6.2745098039215685
882a10608dfffff,5.202247191011236
882a106183fffff,2.0
882a1061d3fffff,5.111111111111111
882a1060e3fffff,5.098039215686274
882a1061d7fffff,4.181818181818182
882a1060e7fffff,5.333333333333333
882a1060c7fffff,5.950819672131147
882a1060d5fffff,4.95945945945946
882a1060ddfffff,4.945205479452055
882a1060c3fffff,5.192982456140351
882a1062b3fffff,nan
882a1062b7fffff,4.861111111111111
882a1060cbfffff,4.98019801980198
882a1062b1fffff,5.655172413793103
882a1062b5fffff,5.368421052631579
882a106295fffff,5.076923076923077
882a1060c9fffff,5.447368421052632
882a10618bfffff,2.0
882a1061dbfffff,6.0476190476190474
882a1060ebfffff,5.424242424242424
882a1061d1fffff,4.9818181818181815
882a1060e1fffff,5.553571428571429
882a1060c1fffff,6.5
882a1061d5fffff,2.0
882a1060e5fffff,3.8656716417910446
882a1060c5fffff,5.5256410256410255
882a1061d9fffff,4.461538461538462
882a1060e9fffff,5.140350877192983
882a1060edfffff,5.75
882a1060cdfffff,6.352941176470588
882a106033fffff,4.2
882a106013fffff,5.150943396226415
882a106017fffff,4.7727272727272725
882a10603bfffff,2.8
882a10601bfffff,nan
882a106031fffff,nan
882a106011fffff,5.0
882a1062b9fffff,5.578313253012048
882a1062bdfffff,6.068965517241379
882a10629dfffff,5.085106382978723
882a1062a3fffff,4.891304347826087
882a106283fffff,5.519230769230769
882a1062a7fffff,5.611111111111111
882a106287fffff,5.536585365853658
882a1062d7fffff,4.0
882a1062abfffff,6.114285714285714
882a10628bfffff,4.135135135135135
882a1062a1fffff,5.6
882a106281fffff,4.333333333333333
882a1062d1fffff,4.5
882a1062a5fffff,5.0
882a106285fffff,5.298076923076923
882a1062d5fffff,5.049382716049383
882a1062a9fffff,4.511627906976744
882a106289fffff,4.213333333333333
882a1062d9fffff,4.608695652173913
882a1062adfffff,5.6
882a106015fffff,3.0
