,hex_id,geometry
0,882a106e0dfffff,"POLYGON ((-74.24005982502955 40.501626038121294, -74.23812821403146 40.50607661731171, -74.23178617883345 40.50714145162203, -74.22737676591797 40.503755482519104, -74.22803230885452 40.502245880399975, -74.228188 40.502238, -74.228332 40.502238, -74.22845 40.502238, -74.228563 40.502209, -74.228825 40.5022, -74.229069 40.502191, -74.229238 40.502125, -74.229613 40.502031, -74.230044 40.501881, -74.230138 40.501844, -74.230307 40.501778, -74.230438 40.501797, -74.230635 40.501806, -74.230794 40.501816, -74.230925 40.501806, -74.230972 40.501788, -74.231094 40.501694, -74.231216 40.501638, -74.231375 40.501666, -74.231488 40.501675, -74.231694 40.501647, -74.231769 40.501628, -74.23191 40.501563, -74.232088 40.501487, -74.232172 40.501469, -74.232472 40.501375, -74.23265 40.501262, -74.232782 40.501103, -74.232866 40.500972, -74.232922 40.500794, -74.232956 40.500677, -74.232997 40.500677, -74.233457 40.500559, -74.233738 40.500588, -74.234294 40.500603, -74.234544 40.500672, -74.234647 40.500681, -74.234816 40.500597, -74.234985 40.500531, -74.235125 40.500513, -74.235332 40.500475, -74.235529 40.500438, -74.235744 40.500334, -74.235913 40.500269, -74.236007 40.500147, -74.236054 40.500081, -74.236119 40.500006, -74.236288 40.499894, -74.236513 40.499941, -74.236579 40.499969, -74.236616 40.499978, -74.236663 40.499978, -74.23685 40.499903, -74.237047 40.499753, -74.237254 40.499566, -74.23729686328062 40.49950476674196, -74.24005982502955 40.501626038121294))"
1,882a106e63fffff,"POLYGON ((-74.23812821403146 40.50607661731171, -74.24005982502955 40.501626038121294, -74.24640096766862 40.5005608102698, -74.25081151030668 40.50394593722659, -74.24888080597698 40.508396841926015, -74.24253865223147 40.509462294190094, -74.23812821403146 40.50607661731171))"
2,882a106e67fffff,"POLYGON ((-74.24888080597698 40.508396841926015, -74.25081151030668 40.50394593722659, -74.25491913654146 40.503255523158586, -74.255422 40.504281, -74.255469 40.504731, -74.25546 40.505022, -74.255469 40.505331, -74.255417 40.505755, -74.255413 40.506025, -74.255413 40.506353, -74.255404 40.506531, -74.255432 40.506738, -74.255488 40.506916, -74.255544 40.507103, -74.255629 40.507269, -74.255653 40.507441, -74.255713 40.507609, -74.255694 40.50773, -74.255629 40.507919, -74.255685 40.507956, -74.255169 40.508481, -74.255085 40.508444, -74.254664 40.508839, -74.25441 40.508866, -74.254035 40.509091, -74.254063 40.509138, -74.253969 40.509203, -74.253772 40.509381, -74.253547 40.509691, -74.253435 40.509925, -74.253397 40.510084, -74.253275 40.510272, -74.253219 40.510394, -74.253135 40.510675, -74.253116 40.511078, -74.253135 40.511425, -74.253163 40.511631, -74.25315819567926 40.51167933734945, -74.24888080597698 40.508396841926015))"
3,882a106e47fffff,"POLYGON ((-74.219101335015 40.50927010853307, -74.22103484972476 40.50481969896743, -74.22737676591797 40.503755482519104, -74.23178617883345 40.50714145162203, -74.22985357047185 40.511592187045366, -74.22351064273714 40.512656627538476, -74.219101335015 40.50927010853307))"
4,882a106e6bfffff,"POLYGON ((-74.22985357047185 40.511592187045366, -74.23178617883345 40.50714145162203, -74.23812821403146 40.50607661731171, -74.24253865223147 40.509462294190094, -74.24060695055807 40.51391335529549, -74.234263903887 40.51497841387086, -74.22985357047185 40.511592187045366))"
5,882a106e61fffff,"POLYGON ((-74.2450183095489 40.51729928967359, -74.24060695055807 40.51391335529549, -74.24253865223147 40.509462294190094, -74.24888080597698 40.508396841926015, -74.25315819567926 40.51167933734945, -74.253114 40.512124, -74.252947 40.512269, -74.251963 40.512916, -74.251925 40.513075, -74.251972 40.513244, -74.252085 40.513478, -74.252122 40.513619, -74.252066 40.51375, -74.251925 40.513872, -74.251683 40.514023, -74.250004 40.515109, -74.250154 40.515316, -74.249844 40.515531, -74.249357 40.515034, -74.249254 40.515091, -74.24962 40.51557, -74.248663 40.516113, -74.2487 40.516178, -74.248232 40.516497, -74.247491 40.515728, -74.247125 40.515916, -74.246994 40.516047, -74.24691 40.516094, -74.246771 40.516146, -74.246648 40.516158, -74.246525 40.51617, -74.246511 40.516309, -74.246563 40.516469, -74.24661 40.516591, -74.246714 40.516715, -74.246825 40.516834, -74.246994 40.516947, -74.24701631426441 40.516963617005416, -74.2468786853569 40.5169867392044, -74.246797 40.516909, -74.246657 40.516797, -74.246554 40.516722, -74.246233 40.516825, -74.245729 40.51705, -74.245485 40.517163, -74.24544110610094 40.517228258186215, -74.2450183095489 40.51729928967359))"
6,882a106e41fffff,"POLYGON ((-74.2108240142567 40.514784496410655, -74.21275852667402 40.51033393103582, -74.219101335015 40.50927010853307, -74.22351064273714 40.512656627538476, -74.22157703668738 40.51710751894406, -74.21523321643838 40.51817156534387, -74.2108240142567 40.514784496410655))"
7,882a106e45fffff,"POLYGON ((-74.22157703668738 40.51710751894406, -74.22351064273714 40.512656627538476, -74.22985357047185 40.511592187045366, -74.234263903887 40.51497841387086, -74.23233120454509 40.51942963113157, -74.22598726497064 40.52049429574207, -74.22157703668738 40.51710751894406))"
8,882a1060b5fffff,"MULTIPOLYGON (((-74.20254480334124 40.52029864562505, -74.19620021077289 40.52136167940854, -74.19251641358797 40.51853042290052, -74.192731 40.518231, -74.192806 40.518006, -74.192797 40.517725, -74.192741 40.517538, -74.192591 40.517359, -74.192488 40.517228, -74.192544 40.516956, -74.192666 40.516778, -74.192844 40.516534, -74.192994 40.516328, -74.193069 40.516028, -74.193106 40.515775, -74.1932 40.515578, -74.193275 40.515522, -74.193416 40.515419, -74.193472 40.515306, -74.193416 40.515175, -74.193322 40.514997, -74.193228 40.514828, -74.193228 40.514706, -74.193322 40.514566, -74.19331517202195 40.51447344296421, -74.19372855760153 40.51352337414571, -74.20007213782743 40.51246056389106, -74.20448031379061 40.515847924691826, -74.20327613997736 40.51861693149292, -74.203216 40.51852, -74.203007 40.518322, -74.202777 40.518185, -74.202589 40.518174, -74.202431 40.518196, -74.202143 40.518135, -74.202014 40.51813, -74.201913 40.518152, -74.201625 40.518168, -74.201532 40.51813, -74.201373 40.517927, -74.201121 40.517674, -74.201105 40.517649, -74.201066 40.517673, -74.200976 40.517728, -74.201004 40.51777, -74.201193 40.517945, -74.201431 40.518197, -74.20154 40.518241, -74.201908 40.518258, -74.20245 40.518313, -74.202579 40.518253, -74.202645 40.518258, -74.202808 40.518364, -74.203065 40.518532, -74.203173 40.518625, -74.203189 40.518713, -74.203139 40.518816, -74.203067 40.518887, -74.203003 40.519025, -74.202997 40.519151, -74.20302887143215 40.51918552738483, -74.20290990735525 40.519459086180404, -74.202819 40.519463, -74.202682 40.519507, -74.202553 40.519644, -74.202574 40.519688, -74.202668 40.519732, -74.202769 40.519727, -74.2028024721525 40.519706134242604, -74.20254480334124 40.52029864562505)), ((-74.20284360216985 40.519611555456265, -74.202762 40.519628, -74.20274 40.519617, -74.202805 40.519546, -74.20287524865408 40.51953878412616, -74.20284360216985 40.519611555456265)), ((-74.19179214110599 40.51797376869965, -74.19191402774881 40.51769364112759, -74.191934 40.517716, -74.191981 40.517866, -74.191963 40.517969, -74.191916 40.518034, -74.19191177158491 40.518065713113245, -74.19179214110599 40.51797376869965)))"
9,882a106e69fffff,"POLYGON ((-74.23674245881276 40.52281611552678, -74.23233120454509 40.51942963113157, -74.234263903887 40.51497841387086, -74.24060695055807 40.51391335529549, -74.2450183095489 40.51729928967359, -74.24452708959448 40.518431236791805, -74.244341 40.518484, -74.244004 40.5184, -74.243788 40.518344, -74.24345 40.518325, -74.243066 40.518297, -74.242888 40.518297, -74.242522 40.518306, -74.242325 40.518381, -74.24211 40.518503, -74.241969 40.518663, -74.241791 40.51885, -74.241697 40.518906, -74.24151 40.518981, -74.241275 40.519103, -74.241443 40.519348, -74.241519 40.519591, -74.241416 40.519731, -74.241332 40.519797, -74.241322 40.519806, -74.241472 40.520013, -74.24166 40.519975, -74.241754 40.519966, -74.241819 40.520003, -74.241875 40.520078, -74.241922 40.520181, -74.24196 40.520284, -74.242416 40.520325, -74.242786 40.520696, -74.242861 40.521164, -74.242944 40.52125, -74.242983 40.521349, -74.242982 40.521484, -74.242982 40.521513, -74.242925 40.521691, -74.24288683261297 40.52178436330058, -74.23674245881276 40.52281611552678), (-74.238951 40.520249, -74.239037 40.52026, -74.239202 40.520183, -74.239426 40.520177, -74.239782 40.520222, -74.239802 40.520157, -74.239837 40.520045, -74.239714 40.520038, -74.239465 40.519968, -74.239354 40.519992, -74.239276 40.519995, -74.238805 40.519882, -74.238462 40.519834, -74.238432 40.519865, -74.238432 40.519952, -74.238468 40.519985, -74.238749 40.520117, -74.238951 40.520249))"
10,882a106e49fffff,"MULTIPOLYGON (((-74.20448031379061 40.515847924691826, -74.2108240142567 40.514784496410655, -74.21523321643838 40.51817156534387, -74.21329861237581 40.52262261248091, -74.20695389963515 40.52368626451129, -74.20254480334124 40.52029864562505, -74.2028024721525 40.519706134242604, -74.202923 40.519631, -74.203013 40.519615, -74.203042 40.519617, -74.203085 40.519661, -74.203085 40.519705, -74.202941 40.519787, -74.202798 40.520056, -74.202805 40.520128, -74.202848 40.520183, -74.203157 40.520391, -74.203179 40.520364, -74.203143 40.520287, -74.202956 40.520155, -74.202927 40.520111, -74.202941 40.519924, -74.203006 40.51982, -74.203136 40.519754, -74.203179 40.519716, -74.203186 40.519677, -74.203136 40.5196, -74.203085 40.519578, -74.203056 40.519574, -74.203025 40.519575, -74.20284360216985 40.519611555456265, -74.20287524865408 40.51953878412616, -74.203136 40.519512, -74.203517 40.519545, -74.203589 40.519529, -74.203639 40.519425, -74.203618 40.519359, -74.203574 40.519321, -74.203215 40.519184, -74.203121 40.519129, -74.2031 40.519052, -74.203294 40.518816, -74.203323 40.518739, -74.203301 40.518657, -74.20327613997736 40.51861693149292, -74.20448031379061 40.515847924691826)), ((-74.20302887143215 40.51918552738483, -74.203033 40.51919, -74.203437 40.519326, -74.203531 40.519392, -74.203524 40.519441, -74.20333 40.519441, -74.20290990735525 40.519459086180404, -74.20302887143215 40.51918552738483)))"
11,882a1060b9fffff,"POLYGON ((-74.1854476691673 40.51903618432852, -74.18351025429638 40.523486734016814, -74.17716489066824 40.524548754743876, -74.1739652785585 40.52208838483171, -74.176006 40.520688, -74.176428 40.520341, -74.176784 40.520003, -74.1773 40.519581, -74.177478 40.519384, -74.177497 40.519338, -74.177525 40.519291, -74.1776 40.519281, -74.177684 40.519356, -74.177731 40.519394, -74.177759 40.519431, -74.17789 40.519462, -74.178078 40.519572, -74.178153 40.519628, -74.178247 40.519628, -74.17835 40.519656, -74.178425 40.519816, -74.178453 40.5199, -74.178575 40.519975, -74.178716 40.520059, -74.178913 40.520106, -74.179156 40.520078, -74.179259 40.520097, -74.17955 40.520378, -74.179888 40.520519, -74.179981 40.520528, -74.180384 40.520547, -74.180713 40.520594, -74.181059 40.520659, -74.181388 40.520641, -74.181659 40.520528, -74.181753 40.520491, -74.181941 40.520388, -74.182044 40.52035, -74.182194 40.520341, -74.182306 40.520284, -74.182578 40.520125, -74.182878 40.519975, -74.183168 40.519904, -74.183441 40.519806, -74.183863 40.51975, -74.184191 40.519647, -74.1845 40.519459, -74.184753 40.5193, -74.18530055585647 40.51892308135642, -74.1854476691673 40.51903618432852))"
12,882a106e4dfffff,"POLYGON ((-74.21329861237581 40.52262261248091, -74.21523321643838 40.51817156534387, -74.22157703668738 40.51710751894406, -74.22598726497064 40.52049429574207, -74.22405356763537 40.524945668907336, -74.21770873517993 40.52600993927676, -74.21329861237581 40.52262261248091))"
13,882a1060bdfffff,"POLYGON ((-74.19620021077289 40.52136167940854, -74.19426370196697 40.525812555649225, -74.18791821731942 40.52687519465895, -74.18351025429638 40.523486734016814, -74.1854476691673 40.51903618432852, -74.19179214110599 40.51797376869965, -74.19191177158491 40.518065713113245, -74.191906 40.518109, -74.191963 40.518166, -74.192066 40.51825, -74.192103 40.5184, -74.191934 40.518569, -74.191813 40.518644, -74.19155 40.518756, -74.1914 40.518916, -74.191325 40.519141, -74.191297 40.519375, -74.191222 40.519525, -74.191194 40.519769, -74.191241 40.519938, -74.191334 40.5202, -74.191362 40.520419, -74.191531 40.520163, -74.191475 40.519966, -74.191372 40.519872, -74.191375 40.519824, -74.1914 40.519684, -74.191522 40.519459, -74.191719 40.519216, -74.19185 40.519084, -74.192169 40.518841, -74.192394 40.518681, -74.192516 40.518531, -74.19251641358797 40.51853042290052, -74.19620021077289 40.52136167940854))"
14,882a106193fffff,"POLYGON ((-74.22405356763537 40.524945668907336, -74.22598726497064 40.52049429574207, -74.23233120454509 40.51942963113157, -74.23674245881276 40.52281611552678, -74.2348096685452 40.5272678145446, -74.2284647168327 40.52833270334508, -74.22405356763537 40.524945668907336))"
15,882a1060a3fffff,"POLYGON ((-74.19426370196697 40.525812555649225, -74.19620021077289 40.52136167940854, -74.20254480334124 40.52029864562505, -74.20695389963515 40.52368626451129, -74.20501829723507 40.5281374671289, -74.19867269202555 40.52920072451368, -74.19426370196697 40.525812555649225))"
16,882a106083fffff,"POLYGON ((-74.17716489066824 40.524548754743876, -74.17522647709757 40.5289994593155, -74.16888022180345 40.53006108486466, -74.16447339333246 40.52667178279968, -74.16470587922313 40.52613827085575, -74.164841 40.526059, -74.164991 40.525947, -74.165197 40.525741, -74.165309 40.525638, -74.165619 40.525534, -74.165947 40.525375, -74.166153 40.525272, -74.166884 40.524807, -74.167156 40.524625, -74.167531 40.5244, -74.167794 40.52425, -74.168019 40.524156, -74.168188 40.524081, -74.168413 40.524015, -74.168544 40.524006, -74.168656 40.523978, -74.168769 40.523884, -74.168863 40.5238, -74.168994 40.523631, -74.169078 40.523556, -74.169238 40.523463, -74.1695 40.523341, -74.169631 40.523256, -74.169941 40.523125, -74.170034 40.523088, -74.170184 40.52305, -74.170475 40.523059, -74.1707 40.523153, -74.170841 40.523303, -74.171075 40.523491, -74.171197 40.523472, -74.171731 40.523341, -74.172006 40.523263, -74.172753 40.522879, -74.173466 40.522431, -74.1739652785585 40.52208838483171, -74.17716489066824 40.524548754743876))"
17,882a106197fffff,"POLYGON ((-74.2392218440184 40.53065455635652, -74.2348096685452 40.5272678145446, -74.23674245881276 40.52281611552678, -74.24288683261297 40.52178436330058, -74.24286 40.52185, -74.242766 40.522056, -74.2427 40.522281, -74.24271 40.522469, -74.242775 40.522666, -74.242833 40.522783, -74.24286 40.523003, -74.242841 40.523266, -74.24285 40.523528, -74.242832 40.523875, -74.242925 40.524175, -74.243047 40.524372, -74.243179 40.524559, -74.243432 40.524766, -74.243622 40.524825, -74.243788 40.524888, -74.243879 40.52496, -74.243938 40.525066, -74.243994 40.525122, -74.24405 40.525197, -74.244041 40.525253, -74.243966 40.525253, -74.243854 40.525234, -74.243769 40.525366, -74.243629 40.525778, -74.243572 40.526041, -74.24346 40.526275, -74.243293 40.526542, -74.243104 40.526828, -74.242991 40.527044, -74.242944 40.527231, -74.242932 40.527517, -74.242954 40.527775, -74.242944 40.527963, -74.242925 40.528009, -74.24286 40.528103, -74.2426 40.528413, -74.242419 40.529125, -74.242227 40.529629, -74.242035 40.529941, -74.24186826117055 40.53021015201911, -74.2392218440184 40.53065455635652))"
18,882a1060a7fffff,"POLYGON ((-74.20501829723507 40.5281374671289, -74.20695389963515 40.52368626451129, -74.21329861237581 40.52262261248091, -74.21770873517993 40.52600993927676, -74.21577403952645 40.53046146809572, -74.20942831421259 40.53152534394784, -74.20501829723507 40.5281374671289))"
19,882a106087fffff,"POLYGON ((-74.17522647709757 40.5289994593155, -74.17716489066824 40.524548754743876, -74.18351025429638 40.523486734016814, -74.18791821731942 40.52687519465895, -74.18598070983239 40.53132622595605, -74.1796343331289 40.532388469915844, -74.17522647709757 40.5289994593155))"
20,882a10619bfffff,"POLYGON ((-74.21577403952645 40.53046146809572, -74.21770873517993 40.52600993927676, -74.22405356763537 40.524945668907336, -74.2284647168327 40.52833270334508, -74.22653092826647 40.53278455818971, -74.22018508330603 40.533849052601326, -74.21577403952645 40.53046146809572))"
21,882a1060abfffff,"POLYGON ((-74.18598070983239 40.53132622595605, -74.18791821731942 40.52687519465895, -74.19426370196697 40.525812555649225, -74.19867269202555 40.52920072451368, -74.19673609096327 40.53365208236082, -74.19038959330793 40.53471494482381, -74.18598070983239 40.53132622595605))"
